Scenario,Config,Rep,AvgPrepQueue,IdlePrep,Blocking,TheatreUtil,RecoveryFull
Original,3p4r,0,9.9125,0.0,0.0,1.0,0
Original,3p4r,1,12.63125,0.0,0.0,1.0,0
Original,3p4r,2,4.10625,0.0,0.03749999999999998,0.9625,0
Original,3p4r,3,10.48125,0.0,0.0,1.0,0
Original,3p4r,4,17.2375,0.0,0.0,1.0,0
Original,3p4r,5,11.18125,0.0,0.0,1.0,0
Original,3p4r,6,3.45,0.0,0.012499999999999956,0.9875,0
Original,3p4r,7,18.075,0.0,0.03125,0.96875,0
Original,3p4r,8,13.03125,0.0,0.0,1.0,0
Original,3p4r,9,16.59375,0.0,0.0,1.0,0
Original,3p4r,10,9.98125,0.0,0.0,1.0,0
Original,3p4r,11,18.4625,0.0,0.012499999999999956,0.9875,0
Original,3p4r,12,16.2875,0.0,0.0,1.0,0
Original,3p4r,13,7.55625,0.0,0.03749999999999998,0.9625,0
Original,3p4r,14,12.225,0.0,0.025000000000000022,0.975,0
Original,3p4r,15,4.65,0.0,0.006249999999999978,0.99375,0
Original,3p4r,16,12.10625,0.0,0.0625,0.9375,0
Original,3p4r,17,9.9,0.0,0.0,1.0,0
Original,3p4r,18,10.93125,0.0,0.0,1.0,0
Original,3p4r,19,19.4125,0.0,0.0,1.0,0
Original,3p5r,0,9.9125,0.0,0.0,1.0,0
Original,3p5r,1,12.63125,0.0,0.0,1.0,0
Original,3p5r,2,4.10625,0.0,0.03749999999999998,0.9625,0
Original,3p5r,3,10.48125,0.0,0.0,1.0,0
Original,3p5r,4,17.2375,0.0,0.0,1.0,0
Original,3p5r,5,11.18125,0.0,0.0,1.0,0
Original,3p5r,6,3.45,0.0,0.012499999999999956,0.9875,0
Original,3p5r,7,18.075,0.0,0.03125,0.96875,0
Original,3p5r,8,13.03125,0.0,0.0,1.0,0
Original,3p5r,9,16.59375,0.0,0.0,1.0,0
Original,3p5r,10,9.98125,0.0,0.0,1.0,0
Original,3p5r,11,18.4625,0.0,0.012499999999999956,0.9875,0
Original,3p5r,12,16.2875,0.0,0.0,1.0,0
Original,3p5r,13,7.55625,0.0,0.03749999999999998,0.9625,0
Original,3p5r,14,12.225,0.0,0.025000000000000022,0.975,0
Original,3p5r,15,4.65,0.0,0.006249999999999978,0.99375,0
Original,3p5r,16,12.10625,0.0,0.0625,0.9375,0
Original,3p5r,17,9.9,0.0,0.0,1.0,0
Original,3p5r,18,10.93125,0.0,0.0,1.0,0
Original,3p5r,19,19.4125,0.0,0.0,1.0,0
Original,4p5r,0,13.775,0.0,0.0,1.0,0
Original,4p5r,1,9.3,0.0,0.0,1.0,0
Original,4p5r,2,17.7625,0.0,0.0,1.0,0
Original,4p5r,3,8.03125,0.0,0.0,1.0,0
Original,4p5r,4,15.2625,0.0,0.0,1.0,0
Original,4p5r,5,11.91875,0.0,0.0,1.0,0
Original,4p5r,6,9.41875,0.0,0.0,1.0,0
Original,4p5r,7,18.7625,0.0,0.0,1.0,0
Original,4p5r,8,12.925,0.0,0.0,1.0,0
Original,4p5r,9,20.46875,0.0,0.0,1.0,0
Original,4p5r,10,6.975,0.0,0.0,1.0,0
Original,4p5r,11,16.3125,0.0,0.0,1.0,0
Original,4p5r,12,10.35625,0.0,0.0,1.0,0
Original,4p5r,13,8.5,0.0,0.0,1.0,0
Original,4p5r,14,13.35625,0.0,0.0,1.0,0
Original,4p5r,15,0.41875,0.0,0.05625000000000002,0.94375,0
Original,4p5r,16,7.49375,0.0,0.0,1.0,0
Original,4p5r,17,3.46875,0.0,0.0,1.0,0
Original,4p5r,18,9.9125,0.0,0.018750000000000044,0.98125,0
Original,4p5r,19,11.91875,0.0,0.006249999999999978,0.99375,0
Twisted,3p4r,0,21.35625,0.0,0.050000000000000044,0.95,0
Twisted,3p4r,1,12.125,0.0,0.0,1.0,0
Twisted,3p4r,2,11.1625,0.0,0.0,1.0,0
Twisted,3p4r,3,13.6625,0.0,0.0,1.0,0
Twisted,3p4r,4,12.78125,0.0,0.006249999999999978,0.99375,0
Twisted,3p4r,5,14.35625,0.0,0.0,1.0,0
Twisted,3p4r,6,16.25,0.0,0.0,1.0,0
Twisted,3p4r,7,14.3875,0.0,0.0,1.0,0
Twisted,3p4r,8,23.08125,0.0,0.0,1.0,0
Twisted,3p4r,9,19.80625,0.0,0.0,1.0,0
Twisted,3p4r,10,15.15625,0.0,0.0,1.0,0
Twisted,3p4r,11,14.89375,0.0,0.006249999999999978,0.99375,0
Twisted,3p4r,12,19.31875,0.0,0.0,1.0,0
Twisted,3p4r,13,24.825,0.0,0.0,1.0,0
Twisted,3p4r,14,14.85,0.0,0.018750000000000044,0.98125,0
Twisted,3p4r,15,19.73125,0.0,0.050000000000000044,0.95,0
Twisted,3p4r,16,7.8625,0.0,0.0,1.0,0
Twisted,3p4r,17,6.08125,0.0,0.018750000000000044,0.98125,0
Twisted,3p4r,18,13.96875,0.0,0.025000000000000022,0.975,0
Twisted,3p4r,19,8.90625,0.0,0.006249999999999978,0.99375,0
Twisted,3p5r,0,21.35625,0.0,0.050000000000000044,0.95,0
Twisted,3p5r,1,12.125,0.0,0.0,1.0,0
Twisted,3p5r,2,11.1625,0.0,0.0,1.0,0
Twisted,3p5r,3,13.6625,0.0,0.0,1.0,0
Twisted,3p5r,4,12.78125,0.0,0.006249999999999978,0.99375,0
Twisted,3p5r,5,14.35625,0.0,0.0,1.0,0
Twisted,3p5r,6,16.25,0.0,0.0,1.0,0
Twisted,3p5r,7,14.3875,0.0,0.0,1.0,0
Twisted,3p5r,8,23.08125,0.0,0.0,1.0,0
Twisted,3p5r,9,19.80625,0.0,0.0,1.0,0
Twisted,3p5r,10,15.15625,0.0,0.0,1.0,0
Twisted,3p5r,11,14.89375,0.0,0.006249999999999978,0.99375,0
Twisted,3p5r,12,19.31875,0.0,0.0,1.0,0
Twisted,3p5r,13,24.825,0.0,0.0,1.0,0
Twisted,3p5r,14,14.85,0.0,0.018750000000000044,0.98125,0
Twisted,3p5r,15,19.73125,0.0,0.050000000000000044,0.95,0
Twisted,3p5r,16,7.8625,0.0,0.0,1.0,0
Twisted,3p5r,17,6.08125,0.0,0.018750000000000044,0.98125,0
Twisted,3p5r,18,13.96875,0.0,0.025000000000000022,0.975,0
Twisted,3p5r,19,8.90625,0.0,0.006249999999999978,0.99375,0
Twisted,4p5r,0,16.99375,0.0,0.0,1.0,0
Twisted,4p5r,1,20.6,0.0,0.0,1.0,0
Twisted,4p5r,2,8.96875,0.0,0.0,1.0,0
Twisted,4p5r,3,12.78125,0.0,0.0,1.0,0
Twisted,4p5r,4,10.09375,0.0,0.0,1.0,0
Twisted,4p5r,5,9.9875,0.0,0.0,1.0,0
Twisted,4p5r,6,11.025,0.0,0.012499999999999956,0.9875,0
Twisted,4p5r,7,10.1125,0.0,0.012499999999999956,0.9875,0
Twisted,4p5r,8,19.79375,0.0,0.0,1.0,0
Twisted,4p5r,9,11.425,0.0,0.0,1.0,0
Twisted,4p5r,10,13.11875,0.0,0.0,1.0,0
Twisted,4p5r,11,11.725,0.0,0.0,1.0,0
Twisted,4p5r,12,11.6375,0.0,0.012499999999999956,0.9875,0
Twisted,4p5r,13,20.61875,0.0,0.0,1.0,0
Twisted,4p5r,14,13.9625,0.0,0.0,1.0,0
Twisted,4p5r,15,25.19375,0.0,0.0,1.0,0
Twisted,4p5r,16,11.425,0.0,0.0,1.0,0
Twisted,4p5r,17,14,0.0,0.0,1.0,0
Twisted,4p5r,18,11.8,0.0,0.0,1.0,0
Twisted,4p5r,19,11.3875,0.0,0.012499999999999956,0.9875,0
